Attrition,DistanceFromHome,EmployeeNumber,WorkLifeBalance,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,PercentSalaryHike,StandardHours,Employee Last Date,Attrition Month
Yes,1,1,1,0,5,Yes,11,80,28/4/2022,Apr
Yes,1,7,1,0,5,Yes,11,80,2/6/2022,Jun
Yes,1,8,1,0,5,Yes,11,80,29/4/2022,Apr
Yes,1,9,1,0,5,Yes,11,80,23/8/2022,Aug
Yes,1,10,1,0,5,Yes,11,80,20/3/2022,Mar
Yes,1,11,3,0,2,Yes,14,80,18/11/2022,Nov
Yes,1,13,1,11,10,No,11,80,2/8/2022,Aug
Yes,1,17,1,0,5,Yes,11,80,17/4/2022,Apr
Yes,1,18,1,0,5,Yes,11,80,31/8/2022,Aug
Yes,1,560,1,0,5,Yes,11,80,20/4/2022,Apr
Yes,1,561,1,0,5,Yes,11,80,5/5/2022,May
Yes,1,563,1,0,5,Yes,11,80,7/4/2022,Apr
Yes,1,564,1,0,5,Yes,11,80,1/8/2022,Aug
Yes,1,570,3,4,2,No,11,80,27/4/2022,Apr
Yes,1,571,3,4,2,No,11,80,6/8/2022,Aug
Yes,1,573,3,4,2,No,11,80,5/4/2022,Apr
Yes,1,574,3,4,2,No,11,80,12/8/2022,Aug
Yes,1,855,3,4,2,No,11,80,20/9/2022,Sep
Yes,1,858,3,4,2,No,11,80,9/9/2022,Sep
Yes,1,861,3,4,2,No,11,80,17/9/2022,Sep
Yes,1,862,3,4,2,No,11,80,1/9/2022,Sep
Yes,12,863,3,15,8,No,12,80,26/10/2022,Oct
Yes,12,866,3,15,8,No,12,80,6/4/2022,Apr
Yes,12,869,3,15,8,No,12,80,22/8/2022,Aug
Yes,12,870,3,15,8,No,12,80,18/6/2022,Jun
Yes,12,2989,3,15,8,No,12,80,2/7/2022,Jul
Yes,12,2992,3,15,8,No,12,80,11/5/2022,May
Yes,12,2995,3,15,8,No,12,80,15/7/2022,Jul
Yes,12,2996,3,15,8,No,12,80,15/11/2022,Nov
Yes,20,2997,2,0,2,Yes,22,80,6/6/2022,Jun
Yes,20,3000,2,0,2,Yes,22,80,17/10/2022,Oct
Yes,20,3003,2,0,2,Yes,22,80,1/9/2022,Sep
Yes,20,3004,2,0,2,Yes,22,80,22/4/2022,Apr
Yes,20,4899,2,0,2,Yes,22,80,16/11/2022,Nov
Yes,20,4900,2,0,2,Yes,22,80,30/7/2022,Jul
Yes,20,4904,2,0,2,Yes,22,80,3/4/2022,Apr
Yes,20,4905,2,0,2,Yes,22,80,26/8/2022,Aug
Yes,2,4907,3,0,0,No,12,80,31/3/2022,Mar
