Age,BusinessTravel,Education,EducationField,EmployeeNumber,Gender,MaritalStatus,TotalWorkingYears,NumCompaniesWorked,Over18
33,Travel_Rarely,2,Life Sciences,1,Female,Single,8,8,Y
24,Travel_Rarely,2,Life Sciences,7,Female,Single,8,4,Y
42,Travel_Rarely,2,Life Sciences,8,Female,Single,8,8,Y
23,Travel_Rarely,2,Life Sciences,9,Female,Single,8,4,Y
29,Travel_Rarely,2,Life Sciences,10,Female,Single,8,8,Y
38,Travel_Rarely,2,Life Sciences,11,Female,Divorced,21,2,Y
58,Travel_Rarely,2,Life Sciences,13,Female,Married,33,5,Y
29,Travel_Rarely,2,Life Sciences,17,Female,Single,8,4,Y
41,Travel_Rarely,2,Life Sciences,18,Female,Single,8,8,Y
47,Travel_Rarely,2,Life Sciences,560,Female,Single,8,4,Y
34,Travel_Rarely,2,Life Sciences,561,Female,Single,8,8,Y
25,Travel_Rarely,2,Life Sciences,563,Female,Single,8,4,Y
36,Travel_Rarely,2,Life Sciences,564,Female,Single,8,8,Y
44,Travel_Rarely,2,Life Sciences,570,Male,Married,10,0,Y
37,Travel_Rarely,2,Life Sciences,571,Male,Married,10,4,Y
37,Travel_Rarely,2,Life Sciences,573,Male,Married,10,0,Y
25,Travel_Rarely,2,Life Sciences,574,Male,Married,10,4,Y
29,Travel_Rarely,2,Life Sciences,855,Male,Married,10,0,Y
27,Travel_Rarely,2,Life Sciences,858,Male,Married,10,4,Y
39,Travel_Rarely,2,Life Sciences,861,Male,Married,10,0,Y
18,Travel_Rarely,2,Life Sciences,862,Male,Married,10,4,Y
60,Travel_Rarely,3,Technical Degree,863,Female,Married,23,1,Y
44,Travel_Rarely,3,Medical,866,Female,Married,23,2,Y
37,Travel_Rarely,3,Technical Degree,869,Female,Married,23,1,Y
57,Travel_Rarely,3,Medical,870,Female,Married,23,2,Y
40,Travel_Rarely,3,Technical Degree,2989,Female,Married,23,1,Y
47,Travel_Rarely,3,Medical,2992,Female,Married,23,2,Y
56,Travel_Rarely,3,Technical Degree,2995,Female,Married,23,1,Y
40,Travel_Rarely,3,Medical,2996,Female,Married,23,2,Y
38,Travel_Rarely,2,Marketing,2997,Female,Single,4,1,Y
35,Travel_Rarely,2,Medical,3000,Female,Single,4,9,Y
28,Travel_Rarely,2,Marketing,3003,Female,Single,4,1,Y
22,Travel_Rarely,2,Medical,3004,Female,Single,4,9,Y
31,Travel_Rarely,2,Marketing,4899,Female,Single,4,1,Y
18,Travel_Rarely,2,Medical,4900,Female,Single,4,9,Y
28,Travel_Rarely,2,Marketing,4904,Female,Single,4,1,Y
25,Travel_Rarely,2,Medical,4905,Female,Single,4,9,Y
34,Travel_Rarely,4,Life Sciences,4907,Female,Single,0,1,Y
33,Travel_Rarely,4,Life Sciences,4908,Female,Single,0,8,Y
32,Travel_Rarely,4,Life Sciences,4912,Female,Single,0,1,Y
35,Travel_Rarely,4,Life Sciences,5923,Female,Single,0,8,Y
20,Travel_Rarely,4,Life Sciences,5925,Female,Single,0,1,Y
28,Travel_Rarely,4,Life Sciences,5929,Female,Single,0,8,Y
29,Travel_Rarely,4,Life Sciences,5930,Female,Single,0,8,Y
25,Travel_Frequently,3,Marketing,5931,Male,Single,8,1,Y
32,Travel_Frequently,3,Life Sciences,5933,Male,Single,8,5,Y
27,Travel_Frequently,3,Marketing,5937,Male,Single,8,1,Y
29,Travel_Frequently,3,Life Sciences,5938,Male,Single,8,5,Y
33,Travel_Frequently,3,Marketing,6153,Male,Single,8,1,Y
41,Travel_Frequently,3,Life Sciences,6154,Male,Single,8,5,Y
46,Travel_Frequently,3,Marketing,6158,Male,Single,8,1,Y
24,Travel_Frequently,3,Life Sciences,6159,Male,Single,8,5,Y
38,Non-Travel,2,Life Sciences,6161,Female,Divorced,5,1,Y
27,Non-Travel,2,Life Sciences,6162,Female,Divorced,5,5,Y
22,Non-Travel,2,Life Sciences,6166,Female,Divorced,5,1,Y
23,Non-Travel,2,Life Sciences,10478,Female,Divorced,5,5,Y
46,Non-Travel,2,Life Sciences,10480,Female,Divorced,5,1,Y
30,Non-Travel,2,Life Sciences,10481,Female,Divorced,5,5,Y
36,Non-Travel,2,Life Sciences,10482,Female,Divorced,5,5,Y
46,Travel_Rarely,2,Marketing,10486,Male,Divorced,31,1,Y
53,Travel_Rarely,2,Other,10487,Male,Divorced,31,1,Y
52,Travel_Rarely,2,Marketing,10489,Male,Divorced,31,1,Y
51,Travel_Rarely,2,Other,10490,Male,Divorced,31,1,Y
57,Travel_Rarely,2,Marketing,10714,Male,Divorced,31,1,Y
