DailyRate,Department,EmployeeNumber,Application ID,HourlyRate,JobLevel,JobRole,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,Employee Source
1102,Sales,1,123456,94,2,Sales Executive,5993,19479,8,Y,0,0,6,4,Referral
1102,Sales,7,123458,94,2,Sales Executive,5993,19479,4,Y,0,0,6,4,Referral
1102,Sales,8,123462,94,2,Sales Executive,5993,19479,8,Y,0,0,6,4,Referral
1102,Sales,9,123463,94,2,Sales Executive,5993,19479,4,Y,0,0,6,4,Referral
1102,Sales,10,123464,94,2,Sales Executive,5993,19479,8,Y,0,0,6,4,Referral
1102,Sales,11,123465,33,4,Manager,14756,19730,2,Y,3,2,5,0,Company Website
1102,Sales,13,123466,41,5,Manager,19566,3854,5,Y,0,5,29,8,Indeed
1102,Sales,17,123468,94,2,Sales Executive,5993,19479,4,Y,0,0,6,4,Referral
1102,Sales,18,123472,94,2,Sales Executive,5993,19479,8,Y,0,0,6,4,Referral
1102,Sales,560,123473,94,2,Sales Executive,5993,19479,4,Y,0,0,6,4,Referral
1102,Sales,561,123456,94,2,Sales Executive,5993,19479,8,Y,0,0,6,4,Referral
1102,Sales,563,123458,94,2,Sales Executive,5993,19479,4,Y,0,0,6,4,Referral
1102,Sales,564,123462,94,2,Sales Executive,5993,19479,8,Y,0,0,6,4,Referral
1102,Sales,570,124015,39,2,Sales Executive,6825,21173,0,Y,1,2,9,7,Company Website
1102,Sales,571,124016,39,2,Sales Executive,6825,21173,4,Y,1,2,9,7,Company Website
1102,Sales,573,124018,39,2,Sales Executive,6825,21173,0,Y,1,2,9,7,Company Website
1102,Sales,574,124019,39,2,Sales Executive,6825,21173,4,Y,1,2,9,7,Company Website
1102,Sales,855,124025,39,2,Sales Executive,6825,21173,0,Y,1,2,9,7,Company Website
1102,Sales,858,124026,39,2,Sales Executive,6825,21173,4,Y,1,2,9,7,Company Website
1102,Sales,861,124028,39,2,Sales Executive,6825,21173,0,Y,1,2,9,7,Company Website
1102,Sales,862,124029,39,2,Sales Executive,6825,21173,4,Y,1,2,9,7,Company Website
1360,Research & Development,863,124310,49,5,Research Director,19545,16280,1,Y,0,0,22,15,GlassDoor
1360,Research & Development,866,124313,49,5,Research Director,19545,16280,2,Y,0,0,22,15,GlassDoor
1360,Research & Development,869,124316,49,5,Research Director,19545,16280,1,Y,0,0,22,15,GlassDoor
1360,Research & Development,870,124317,49,5,Research Director,19545,16280,2,Y,0,0,22,15,GlassDoor
1360,Research & Development,2989,124318,49,5,Research Director,19545,16280,1,Y,0,0,22,15,GlassDoor
1360,Research & Development,2992,124321,49,5,Research Director,19545,16280,2,Y,0,0,22,15,GlassDoor
1360,Research & Development,2995,124324,49,5,Research Director,19545,16280,1,Y,0,0,22,15,GlassDoor
1360,Research & Development,2996,124325,49,5,Research Director,19545,16280,2,Y,0,0,22,15,GlassDoor
1356,Sales,2997,126444,70,1,Sales Representative,3140,21728,1,Y,0,5,4,3,Company Website
1356,Sales,3000,126447,70,1,Sales Representative,3140,21728,9,Y,0,5,4,3,Company Website
1356,Sales,3003,126450,70,1,Sales Representative,3140,21728,1,Y,0,5,4,3,Company Website
1356,Sales,3004,126451,70,1,Sales Representative,3140,21728,9,Y,0,5,4,3,Company Website
1356,Sales,4899,126452,70,1,Sales Representative,3140,21728,1,Y,0,5,4,3,Company Website
1356,Sales,4900,126455,70,1,Sales Representative,3140,21728,9,Y,0,5,4,3,Company Website
1356,Sales,4904,126458,70,1,Sales Representative,3140,21728,1,Y,0,5,4,3,Company Website
1356,Sales,4905,126459,70,1,Sales Representative,3140,21728,9,Y,0,5,4,3,Company Website
