EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,EmployeeNumber
2,3,4,3,1,1
2,3,4,3,1,7
2,3,4,3,1,8
2,3,4,3,1,9
2,3,4,3,1,10
4,3,3,3,3,11
1,3,1,3,4,13
2,3,4,3,1,17
2,3,4,3,1,18
2,3,4,3,1,560
2,3,4,3,1,561
2,3,4,3,1,563
2,3,4,3,1,564
1,3,2,3,4,570
1,3,2,3,4,571
1,3,2,3,4,573
1,3,2,3,4,574
1,3,2,3,4,855
1,3,2,3,4,858
1,3,2,3,4,861
1,3,2,3,4,862
2,3,3,3,4,863
2,3,3,4,4,866
2,3,3,3,4,869
2,3,3,3,4,870
2,3,3,3,4,2989
2,3,3,4,4,2992
2,3,3,3,4,2995
2,3,3,3,4,2996
2,3,2,3,4,2997
2,3,2,3,4,3000
2,3,2,4,4,3003
2,3,2,4,4,3004
2,3,2,3,4,4899
2,3,2,3,4,4900
2,3,2,4,4,4904
2,3,2,4,4,4905
2,2,3,3,1,4907
2,2,3,3,1,4908
2,2,3,3,1,4912
2,2,3,3,1,5923
2,2,3,3,1,5925
2,2,3,3,1,5929
2,2,3,3,1,5930
1,3,2,3,3,5931
1,3,2,3,3,5933
1,3,2,3,3,5937
1,3,2,3,3,5938
1,3,2,3,3,6153
1,3,2,3,3,6154
1,3,2,3,3,6158
1,3,2,3,3,6159
2,3,3,3,4,6161
2,3,3,3,4,6162
2,3,3,3,4,6166
2,3,3,3,4,10478
2,3,3,3,4,10480
2,3,3,3,4,10481
2,3,3,3,4,10482
3,3,1,3,4,10486
3,3,1,3,4,10487
3,3,1,3,4,10489
3,3,1,3,4,10490
3,3,1,3,4,10714
3,3,1,3,2,10716
3,3,1,3,4,10720
3,3,1,3,4,10721
2,1,4,3,3,10722
2,1,4,3,3,10725
2,1,4,3,3,10729
2,1,4,3,3,10730
2,1,4,3,3,10812
2,1,4,3,3,10814
2,1,4,3,3,10817
2,1,4,3,3,10818
3,2,1,4,2,10820
3,2,1,3,2,10822
3,2,1,3,2,10825
3,2,1,3,2,10826
3,2,1,4,2,11837
3,2,1,3,2,12088
3,2,1,3,2,13848
3,2,1,3,2,13851
4,2,4,3,1,13852
4,3,1,3,4,13853
1,2,1,4,1,13856
1,2,1,3,1,13859
1,2,1,3,1,13860
1,2,1,3,1,13861
1,2,1,4,1,18404
1,2,1,3,1,21401
1,2,1,3,1,21403
1,2,1,3,1,21406
4,1,1,3,4,21407
4,3,2,3,1,21409
4,3,2,3,1,21411
4,3,2,4,1,21414
4,3,2,4,1,21415
4,3,2,3,1,118
4,3,2,3,1,120
4,3,2,4,1,121
4,3,2,4,1,122
1,4,1,3,1,131
1,4,1,3,1,132
1,4,1,4,1,135
1,4,1,4,1,136
1,4,1,3,1,137
3,4,1,3,4,141
1,4,1,3,1,142
1,4,1,4,1,146
1,4,1,4,1,147
1,3,3,3,2,154
1,3,3,3,2,157
1,3,3,4,2,161
1,3,3,4,2,162
1,3,3,3,2,188
1,3,3,3,2,369
1,3,3,4,2,400
1,3,3,4,2,402
1,2,3,3,3,403
1,4,2,3,2,404
1,2,4,3,3,410
1,2,4,3,3,412
1,2,4,3,3,413
1,2,4,3,3,414
1,2,4,3,3,1496
1,2,4,3,3,1498
1,2,4,3,3,1501
1,2,4,3,3,1502
1,3,1,3,3,1503
1,3,1,3,3,1505
1,3,1,3,3,1508
1,3,1,3,3,1509
1,3,1,3,3,1585
1,3,1,3,3,1587
1,3,1,3,3,1590
1,3,1,3,3,1591
1,2,2,3,2,1592
1,2,2,4,2,1594
1,2,2,3,2,1597
1,2,2,3,2,1598
1,2,2,3,2,1600
1,2,2,4,2,1602
1,2,2,3,2,1603
1,2,2,3,2,1604
1,2,1,3,3,1607
1,2,1,3,3,1609
1,2,1,3,3,1610
1,2,1,3,3,1611
1,2,1,3,3,1661
1,2,1,3,3,1663
1,2,1,3,3,1666
1,2,1,3,3,1667
1,3,3,3,2,1669
1,3,3,3,2,1671
1,3,3,3,2,1560
1,3,3,3,2,1675
1,3,3,3,2,1969
1,3,3,3,2,1970
1,3,3,3,2,1974
1,3,3,3,2,1975
1,3,4,3,3,1977
1,3,4,3,3,1978
1,3,4,3,3,1982
1,3,4,3,3,1983
1,3,4,3,3,2113
1,3,4,3,3,2114
1,3,4,3,3,2116
1,3,4,3,3,2117
1,3,4,3,4,2121
1,3,4,3,4,2122
1,3,4,3,4,2124
1,3,4,3,4,2125
1,3,4,3,4,2224
1,3,1,3,2,2227
1,3,4,3,4,2228
